COUNTY_FIPS,County_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
28111,12006,69,89,23,83,54,2,71,97,.61979902,.19024308,.10845533,.17037399,.60976094,.066623405,.17759031,.037637897
28113,39532,89,100,88,83,53,34,45,99,1.1505738,.33002535,.17190431,.168304,.71755117,.066092752,.3099139,.022632603
28115,31618,79,79,71,97,32,27,79,83,.86618555,.1615687,.15283898,.2349342,.47554272,.052026339,.2873041,.046462022
28117,25255,79,94,14,90,78,23,56,96,.86086422,.21892509,.096355878,.19900791,.59606278,.088682339,.27271733,.027009295
28119,7187,100,100,94,99,92,70,69,100,1.7563715,.35605305,.18930715,.28665978,.81890583,.13181368,.41328049,.035348531
28121,152677,17,15,43,46,2,12,38,51,-1.0672759,.083121203,.12705557,.10549283,.37172851,.022572394,.2348638,.020247187
28123,28332,93,98,99,98,88,18,63,95,1.2979977,.25529101,.22851034,.25997183,.56820631,.1086444,.25884086,.032416504
28125,4404,98,99,93,97,94,53,81,99,1.6509843,.27382612,.18260038,.22511119,.72914284,.14391775,.35922331,.051399201
28127,26888,75,90,36,91,53,6,68,94,.74586189,.19364151,.11954058,.20296296,.55727154,.066308245,.20261438,.034577273
28129,16009,59,88,11,93,28,1,13,96,.30576366,.18892385,.091993183,.20776857,.58938766,.049828179,.16975945,.012542956
28131,18276,72,91,24,85,29,16,61,93,.66057193,.19794403,.10877193,.17786235,.53628445,.050836753,.25481528,.031259868
28133,26168,100,100,100,98,91,85,74,100,1.9021039,.31722152,.25680271,.25135738,1.0001019,.12268686,.46431145,.041456379
28135,14158,93,100,98,100,79,25,44,100,1.3010434,.31686294,.20828828,.30512092,1.0460945,.092240788,.28038454,.022201877
28137,28404,74,86,48,83,28,16,81,87,.72224993,.18069325,.13126649,.17010421,.49899605,.050077491,.2517435,.049980629
28139,22018,79,92,56,91,23,24,68,96,.91835523,.19965807,.13811642,.20148003,.59206736,.046591781,.27699772,.033954557
28141,19441,68,91,12,90,29,14,50,91,.58513564,.19735265,.094538234,.1962336,.51892275,.0508186,.24479371,.024361493
28143,9988,100,97,100,82,83,98,84,82,1.8124366,.23987603,.32594803,.16451903,.472186,.10025445,.59770989,.06005089
28145,28507,64,68,30,97,29,21,70,85,.46035913,.15111695,.11369547,.2191256,.48374912,.050978791,.26855627,.0362969
28147,14477,80,97,60,86,53,1,77,99,.9217428,.23986298,.14090775,.18322341,.71376216,.065881096,.12122835,.044277806
28149,46519,81,93,93,66,65,45,40,91,1.0000076,.20628397,.1837108,.12870783,.51908618,.076665752,.33901837,.020948725
28151,46057,100,100,98,96,94,88,67,99,1.8760151,.33881932,.21696937,.21163897,.69917709,.14426284,.47109184,.033911496
28153,20373,79,92,88,93,63,1,45,96,.8655858,.20476261,.17198516,.20746951,.59243166,.072758034,.16530001,.022777561
28155,9768,72,95,64,79,39,12,27,93,.66449571,.22210668,.14439896,.15100317,.5343219,.056319408,.23691168,.016922263
28157,8875,79,100,77,98,90,5,1,100,.89745891,.34669262,.15897992,.2518459,1.2316506,.11514196,.20063092,.0028391166
28159,18229,82,96,90,86,72,22,47,96,1.0715449,.23093805,.17542748,.18316482,.59997326,.08405558,.26908791,.023111844
28161,12367,78,87,39,83,53,31,68,91,.82915562,.18373221,.12238806,.16734646,.51999235,.066203438,.29955608,.034163289
28163,28565,98,100,100,96,80,56,79,100,1.6680384,.31826088,.25139344,.21111843,1.0419807,.093186609,.36841488,.046359167
29001,25369,72,97,40,39,64,68,1,97,.69149685,.23820195,.12370104,.098847516,.62577653,.07453014,.39933032,.0058327932
29003,17503,5,13,8,25,12,5,1,31,-1.6230366,.078929067,.085388996,.082875647,.33671543,.038888067,.2006506,.0059145349
29005,5229,21,42,10,27,40,32,7,11,-.90333134,.12071651,.088935576,.08529713,.28460279,.057767369,.30288836,.010538641
29007,25644,58,68,47,71,50,36,18,93,.28305322,.15063189,.13093859,.13837838,.5351302,.062351927,.31509799,.013999569
29009,35530,75,93,20,82,21,19,79,89,.72920626,.21063161,.10420288,.1639984,.50627422,.045291316,.26258704,.046830341
29011,11797,72,92,33,66,73,30,50,78,.68744487,.20295076,.11626449,.12846534,.44684818,.086006127,.29928499,.024310522
29013,16296,42,41,40,64,23,23,74,59,-.22305194,.11981914,.12345679,.12631018,.38646114,.046738964,.27279669,.041087519
29015,19107,61,85,2,80,58,2,42,97,.34065819,.17745015,.071599521,.1551106,.63707346,.06897866,.18368903,.021722561
29017,12225,54,69,11,91,34,3,53,84,.16444281,.15156507,.092740647,.20245469,.48152986,.053777486,.19181363,.025908992
29019,177651,60,86,48,5,47,80,31,36,.31686312,.17908296,.13169417,.05451674,.34806305,.060238745,.44393152,.018139593
