mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_iter,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
6.780949664115906,0.22526081119100394,0.000943303108215332,0.0001732476524693743,1000,0.0001,"{'max_iter': 1000, 'alpha': 0.0001}",-1.222165282144961,-1.3663968359404166,-1.375686146680237,-1.3481860682872275,-1.2848977676574087,-1.2627557140712196,-1.2967619190323756,-1.358361852082077,-1.2632152872281446,-1.4014280043753229,-1.3179854877499388,0.056528626177247306,3
40.149222540855405,5.846194545478681,0.0009830951690673827,0.00014417375514556624,5000,0.0001,"{'max_iter': 5000, 'alpha': 0.0001}",-1.222255692329912,-1.3663679118818826,-1.3757661278447495,-1.3481271102342907,-1.2845670084863097,-1.2626225224838485,-1.2967463002284658,-1.3584133386343569,-1.2631595812253529,-1.4011709486484303,-1.3179196541997595,0.05652008223226987,2
71.3364973783493,2.5494285443751394,0.0011095523834228516,0.0002934064667021044,10000,0.0001,"{'max_iter': 10000, 'alpha': 0.0001}",-1.2222559466913319,-1.3662858136394007,-1.3757324721182635,-1.3480935882141545,-1.2845391328301559,-1.2626941910611185,-1.2967232554809207,-1.3584075061955585,-1.2631083426435068,-1.4011418495312604,-1.3178982098405672,0.05650353268438471,1
6.92481038570404,0.17294676368763853,0.0008748531341552735,0.00010625073621547734,1000,0.0001603718743751331,"{'max_iter': 1000, 'alpha': 0.0001603718743751331}",-1.2219677412782386,-1.366780738340277,-1.3758251307261968,-1.3483968999945481,-1.284714761251728,-1.2626250915868773,-1.2958364322348874,-1.3587140844924235,-1.2647145331552458,-1.4019820514704855,-1.3181557464530909,0.0566433613143769,6
34.708607864379886,1.5776450696550992,0.0009434938430786133,0.0001897827180125111,5000,0.0001603718743751331,"{'max_iter': 5000, 'alpha': 0.0001603718743751331}",-1.2219111885611245,-1.3666400563677616,-1.3759336533205107,-1.3483210936396643,-1.2845770935229388,-1.2625541549922787,-1.2958068802178913,-1.3587368251081007,-1.2647055470714605,-1.4018106976357683,-1.31809971904375,0.056641309905029975,5
54.64007120132446,14.607046843965145,0.0008083343505859375,3.031821998019238e-05,10000,0.0001603718743751331,"{'max_iter': 10000, 'alpha': 0.0001603718743751331}",-1.2219221834000282,-1.366637998058267,-1.3759336533205107,-1.3483187533180865,-1.2845700763328112,-1.2625512174185722,-1.2958079184039257,-1.358734012338246,-1.2646996629228389,-1.4018040185832874,-1.3180979494096574,0.05663916996463849,4
6.767491197586059,0.06805221595999554,0.0009905576705932617,0.00024336413515607254,1000,0.00025719138090593444,"{'max_iter': 1000, 'alpha': 0.00025719138090593444}",-1.2219342397174426,-1.3672588613438124,-1.376104888897858,-1.349135007662917,-1.2841941472198992,-1.2624645946456943,-1.2950486948745652,-1.359845415523444,-1.2670489349801228,-1.4025290241323194,-1.3185563808998075,0.056783379631076644,7
25.09364023208618,9.290681150899042,0.0008110523223876954,3.926527442951267e-05,5000,0.00025719138090593444,"{'max_iter': 5000, 'alpha': 0.00025719138090593444}",-1.2218213582655484,-1.3671732044076246,-1.3760775826927598,-1.3491323167117897,-1.284282127778619,-1.2624774121026547,-1.295071174888556,-1.3598726247652186,-1.267160819075064,-1.4026757030949357,-1.3185744323782769,0.05679837990534528,9
41.571301555633546,25.066698060297146,0.0010421037673950194,0.0003893405538385053,10000,0.00025719138090593444,"{'max_iter': 10000, 'alpha': 0.00025719138090593444}",-1.2218067565858273,-1.3671732044076246,-1.3760775826927598,-1.3491323167117897,-1.284282127778619,-1.2624632713746269,-1.2950472848488979,-1.3598726247652186,-1.267160819075064,-1.4026754960888288,-1.3185691484329256,0.05680322217289493,8
8.66545741558075,0.07659767455692211,0.000908350944519043,0.0001176398172776869,1000,0.0004124626382901352,"{'max_iter': 1000, 'alpha': 0.0004124626382901352}",-1.2221637986882081,-1.3675454299315326,-1.3760426557380652,-1.350386998987958,-1.2832644541458398,-1.2618587809831416,-1.2941009675765074,-1.3616249222991494,-1.2691680910617762,-1.4032394572192521,-1.318939555663143,0.05703628639871446,10
15.281559443473816,4.24703686950976,0.0007552623748779297,2.2346524583376357e-05,5000,0.0004124626382901352,"{'max_iter': 5000, 'alpha': 0.0004124626382901352}",-1.2221491761872565,-1.3675466687538012,-1.376039479259705,-1.3504157189625245,-1.2832503369069763,-1.2619197788168124,-1.2941353275945968,-1.3616491524409455,-1.2691680910617762,-1.4032707852880455,-1.318954451527244,0.05703986900988813,11
15.290247273445129,4.2458149571670205,0.0007591724395751953,3.975472347052404e-05,10000,0.0004124626382901352,"{'max_iter': 10000, 'alpha': 0.0004124626382901352}",-1.2221491761872565,-1.3675466687538012,-1.376039479259705,-1.3504157189625245,-1.2832503369069763,-1.2619197788168124,-1.2941353275945968,-1.3616491524409455,-1.2691680910617762,-1.4032707852880455,-1.318954451527244,0.05703986900988813,11
7.941727542877198,0.5557975756854431,0.0008636713027954102,0.00021991668865065024,1000,0.0006614740641230146,"{'max_iter': 1000, 'alpha': 0.0006614740641230146}",-1.2228218384314509,-1.36912505548609,-1.3761024425670256,-1.3520127705542153,-1.2841839491912543,-1.2619982214482495,-1.2928471232550516,-1.364155433260388,-1.2714378152859225,-1.4041003560746321,-1.3198785005554279,0.057266178998141126,15
