mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.4646231889724731,0.08454278701340975,0.050744247436523435,0.022047951477741426,auto,0.0001,"{'solver': 'auto', 'alpha': 0.0001}",-0.002533101717776083,-0.002561801504869188,-0.004357509130752286,-0.0017820377932743457,-0.0033332321790196257,-0.008063453618878112,-0.002202359075447892,-0.0032782425846007586,-0.0033339686967837957,-0.00271103779494473,-0.0034156744096346817,0.0016931247212880252,138
0.34093017578125,0.06308256031365897,0.02407522201538086,0.00948088292388076,svd,0.0001,"{'solver': 'svd', 'alpha': 0.0001}",-0.002533101717776086,-0.002561801505019588,-0.004357509130777282,-0.0017820377933270687,-0.003333232178659948,-0.008063453618883352,-0.002202359075292065,-0.0032782425846113687,-0.0033339686967837952,-0.002711037794944746,-0.0034156744096075302,0.0016931247212910133,137
0.41098556518554685,0.07890400804065725,0.036430740356445314,0.03190512459207608,cholesky,0.0001,"{'solver': 'cholesky', 'alpha': 0.0001}",-0.002533101717776083,-0.002561801504869188,-0.004357509130752286,-0.0017820377932743457,-0.0033332321790196257,-0.008063453618878112,-0.002202359075447892,-0.0032782425846007586,-0.0033339686967837957,-0.00271103779494473,-0.0034156744096346817,0.0016931247212880252,138
0.04521787166595459,0.08219739716112003,0.0005937099456787109,0.000442223415695983,lsqr,0.0001,"{'solver': 'lsqr', 'alpha': 0.0001}",-0.002539059661533306,-0.0025383143946325314,-0.004303870649654658,-0.0017586331838285432,-0.003320239283725749,-0.007988997318747887,-0.0021687263246901465,-0.003249299343646996,-0.003331804990693612,-0.0027058285710381247,-0.003390477372219155,0.001675840355397479,108
0.045945048332214355,0.04103334672098967,0.0003885507583618164,0.0001819046279008748,sparse_cg,0.0001,"{'solver': 'sparse_cg', 'alpha': 0.0001}",-0.0025328898551854745,-0.002561509159979259,-0.004357525686198497,-0.0017810989190445875,-0.0033323888700182115,-0.008064090887895722,-0.002203549391922472,-0.0032780215716855256,-0.003334126492296619,-0.0027117408031669113,-0.003415694163739328,0.0016933076473271962,140
0.5024902582168579,0.021273876900461446,0.004903149604797363,0.0051187993193660165,sag,0.0001,"{'solver': 'sag', 'alpha': 0.0001}",-0.002524294554078977,-0.0025216314092962365,-0.004193835489335366,-0.001740350742453883,-0.0031734681762723383,-0.0074631050460635655,-0.002160787171676327,-0.0031988733792031442,-0.0033021918356201784,-0.0027073303215079704,-0.003298586812550798,0.0015312006027941472,90
0.5132897615432739,0.02706142256261901,0.0014864206314086914,0.0009909604551004813,saga,0.0001,"{'solver': 'saga', 'alpha': 0.0001}",-0.0025167262917679405,-0.0024925985694890093,-0.004146598341684941,-0.0017255726053249367,-0.0031238253899362758,-0.007103595584366725,-0.002114640281540121,-0.0031891163033605473,-0.0032830068834428577,-0.002680896125439073,-0.0032376576376352425,0.0014394939227476145,74
0.40068788528442384,0.13277134841213337,0.03183324337005615,0.00791545124575837,auto,0.00026366508987303583,"{'solver': 'auto', 'alpha': 0.00026366508987303583}",-0.002533084522153957,-0.0025617878723634873,-0.004357450557835571,-0.0017820156723374375,-0.0033331565463248216,-0.008063329085987182,-0.0022023173996006634,-0.0032782182450641012,-0.003333955991868192,-0.0027110382773631245,-0.0034156354170898537,0.0016930945896242269,134
0.3623469114303589,0.09438002248336799,0.023273158073425292,0.01083038671694298,svd,0.00026366508987303583,"{'solver': 'svd', 'alpha': 0.00026366508987303583}",-0.0025330845221539543,-0.0025617878724123935,-0.004357450557857448,-0.0017820156723801993,-0.003333156546193158,-0.008063329085996733,-0.002202317399557523,-0.003278218245069018,-0.0033339559918681653,-0.0027110382773631336,-0.003415635417085173,0.0016930945896251662,133
0.4153604507446289,0.08634946758204125,0.02935657501220703,0.01576831316606227,cholesky,0.00026366508987303583,"{'solver': 'cholesky', 'alpha': 0.00026366508987303583}",-0.002533084522153957,-0.0025617878723634873,-0.004357450557835571,-0.0017820156723374375,-0.0033331565463248216,-0.008063329085987182,-0.0022023173996006634,-0.0032782182450641012,-0.003333955991868192,-0.0027110382773631245,-0.0034156354170898537,0.0016930945896242269,134
0.0453223705291748,0.06316171298697236,0.0007691383361816406,0.0007978901791558194,lsqr,0.00026366508987303583,"{'solver': 'lsqr', 'alpha': 0.00026366508987303583}",-0.002539036378155406,-0.0025383078850077243,-0.004303838260121167,-0.0017586282829542422,-0.0033201719167394042,-0.007988888638571607,-0.002168711600717173,-0.0032492870930355537,-0.0033317951810187124,-0.0027058334779863757,-0.003390449871430737,0.0016758120522253938,107
0.026453018188476562,0.009387252999475773,0.0009942054748535156,0.0007797777036533444,sparse_cg,0.00026366508987303583,"{'solver': 'sparse_cg', 'alpha': 0.00026366508987303583}",-0.0025328786054589427,-0.0025615786679537736,-0.004357426530777052,-0.0017809729974297642,-0.0033323096419811825,-0.008063987791065296,-0.0022034328893930466,-0.003278217689552208,-0.00333406067846054,-0.0027115761915702703,-0.003415644168364207,0.001693297364758694,136
0.4803646087646484,0.03148118883881461,0.0050759553909301754,0.010387583372526073,sag,0.00026366508987303583,"{'solver': 'sag', 'alpha': 0.00026366508987303583}",-0.0025243140325818736,-0.002521723401315502,-0.004193690382855659,-0.0017404349618156667,-0.0031734231475520278,-0.007462848372893838,-0.0021607956191996465,-0.003198912030049319,-0.003302134463989681,-0.0027073409957301766,-0.003298561740798339,0.0015311071494971272,89
0.4976010799407959,0.015517717469203777,0.0033882617950439452,0.006133272348981428,saga,0.00026366508987303583,"{'solver': 'saga', 'alpha': 0.00026366508987303583}",-0.002516862066246302,-0.0024925031780059386,-0.004146711174695427,-0.0017256238625284193,-0.0031238871537975542,-0.007103714909908157,-0.0021146889011345177,-0.003189175030098853,-0.003282877482733133,-0.00268091644163716,-0.003237696020078547,0.001439520176156042,75
