mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.02699434757232666,0.008536808645263603,0.0005559444427490235,0.00015999420848568827,0.7,60,1,4,0.020833333333333336,0.25,0.5,"{'subsample': 0.7, 'n_estimators': 60, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.020833333333333336, 'gamma': 0.25, 'colsample_bytree': 0.5}",-0.0015138915701375282,-0.002175619518267971,-0.0034657705476747874,-0.0021962949397145597,-0.002219051954834279,-0.005989826411721286,-0.0018806986699784899,-0.0021673201726737402,-0.0019632328997625237,-0.00195998471379233,-0.0025531691398557495,0.0012412122338498368,236
0.03417949676513672,0.003673006918393094,0.000599074363708496,0.00017493124044913345,0.6,90,5,4,0.09604166666666668,0.125,0.75,"{'subsample': 0.6, 'n_estimators': 90, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.09604166666666668, 'gamma': 0.125, 'colsample_bytree': 0.75}",-0.0015224201936646794,-0.0021694948229591888,-0.0035087416105910475,-0.0021935601467188027,-0.0022150630782208657,-0.005976395999774819,-0.0018360954159821665,-0.002159382686189597,-0.0019542509583395113,-0.001960466900233105,-0.0025495871812673777,0.001243544036814532,75
0.05715854167938232,0.01653468115967747,0.0005214214324951172,0.0001463496670996828,0.9,180,1,8,0.03666666666666667,0.25,0.5,"{'subsample': 0.9, 'n_estimators': 180, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03666666666666667, 'gamma': 0.25, 'colsample_bytree': 0.5}",-0.0015136096140957863,-0.0021762408900950258,-0.003463809402994584,-0.0021965166296255465,-0.0022188984987882797,-0.0059902069553332705,-0.0018810790430841213,-0.0021654299886197962,-0.0019621341338303643,-0.0019586046616929826,-0.002552652981815976,0.0012413325421457388,123
0.04681711196899414,0.0026036896299166455,0.00046770572662353517,4.5632475214419654e-05,0.7,160,9,2,0.064375,0.5,0.5,"{'subsample': 0.7, 'n_estimators': 160, 'min_child_weight': 9, 'max_depth': 2, 'learning_rate': 0.064375, 'gamma': 0.5, 'colsample_bytree': 0.5}",-0.0015123192588987217,-0.0021772310847233654,-0.0034592892688375546,-0.002199122969565607,-0.0022210125874800547,-0.005995336291391109,-0.0018811189610282138,-0.0021649393291378995,-0.001962188743235579,-0.0019579174086237477,-0.002553047590292185,0.0012424129379154283,214
0.026487255096435548,0.0020379700059077466,0.0004928350448608398,5.682895258961922e-05,0.5,80,1,2,0.1,0.125,0.5,"{'subsample': 0.5, 'n_estimators': 80, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.1, 'gamma': 0.125, 'colsample_bytree': 0.5}",-0.0014879577372846294,-0.002063179911988531,-0.0035743525388417163,-0.0021966017697138147,-0.002219638302094926,-0.006002931948532435,-0.0018855600716158605,-0.002067025585149443,-0.0019228784551242703,-0.0021113447607831056,-0.0025531471081128732,0.0012582265059758139,234
0.03538787364959717,0.001831164689689969,0.00042345523834228513,1.6175062150002775e-05,0.5,100,1,6,0.005,0.375,0.75,"{'subsample': 0.5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.005, 'gamma': 0.375, 'colsample_bytree': 0.75}",-0.0015145337333770255,-0.0021750748593538944,-0.0034678293205829265,-0.0021954933603731954,-0.002217713471877707,-0.005986164276333581,-0.0018803245636352423,-0.002168564355125863,-0.001963499248810446,-0.0019603793471673014,-0.002552957653663718,0.001240322161774036,202
0.05318431854248047,0.004205124378576758,0.000507187843322754,7.415285816325964e-05,0.7,150,1,6,0.064375,0.5,0.875,"{'subsample': 0.7, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.064375, 'gamma': 0.5, 'colsample_bytree': 0.875}",-0.0015132176165058144,-0.002176520311807543,-0.0034630293036430563,-0.002198955773068673,-0.0022225176421795667,-0.005998221926471664,-0.0018816514607148185,-0.0021631215711348187,-0.0019616408527734284,-0.00195909266222402,-0.0025537969120523404,0.0012433944260334172,261
0.053913021087646486,0.0014884302643035632,0.0004582405090332031,5.881366417085116e-05,0.8,190,1,2,0.04854166666666667,0.25,0.5,"{'subsample': 0.8, 'n_estimators': 190, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.04854166666666667, 'gamma': 0.25, 'colsample_bytree': 0.5}",-0.0015118983055132308,-0.0021779395019178695,-0.0034612192606068887,-0.0021974364798818024,-0.0022201158297533085,-0.0059872102389780715,-0.0018806817054471529,-0.0021667791756957524,-0.0019629005976032872,-0.001959392111305043,-0.0025525573206702404,0.0012402510503466751,115
0.06484737396240234,0.007020123015921894,0.0006116867065429687,0.0002548700230933934,0.7,180,9,4,0.08020833333333334,0.25,0.875,"{'subsample': 0.7, 'n_estimators': 180, 'min_child_weight': 9, 'max_depth': 4, 'learning_rate': 0.08020833333333334, 'gamma': 0.25, 'colsample_bytree': 0.875}",-0.0015105443138845784,-0.0021797897375786532,-0.003454198142137394,-0.0021990115345431787,-0.00222254969116459,-0.005995096623797894,-0.0018823535417592115,-0.0021596260875917646,-0.00196086293384043,-0.0019592675329652815,-0.0025523300139262974,0.0012421087723046523,98
0.3104047060012817,0.022137834641804986,0.0007505655288696289,5.512838203050039e-05,0.9,50,7,10,0.020833333333333336,0.0,1.0,"{'subsample': 0.9, 'n_estimators': 50, 'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.020833333333333336, 'gamma': 0.0, 'colsample_bytree': 1.0}",-0.001404862806309059,-0.002056885305139145,-0.0032030342382769624,-0.0020395211549824694,-0.0020633594022399643,-0.005971794234831932,-0.001437189168284791,-0.002181498506746606,-0.0018739492196893138,-0.0018232545148782551,-0.0024055348551378494,0.0012781894106026525,14
