mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.01008293628692627,0.00680454961707115,0.0010061264038085938,0.001122203570737554,18,4,0.2,70,"{'min_samples_split': 18, 'min_samples_leaf': 4, 'max_features': 0.2, 'max_depth': 70}",-0.0018675686091461727,-0.0025250480842873833,-0.0032721466723513483,-0.0029043307756485433,-0.0032297726504595036,-0.006684660823363382,-0.0030726567916146822,-0.0032099253557994947,-0.002421957780343801,-0.0032739436669318857,-0.00324620112099462,0.0012277252594966271,47
0.0216322660446167,0.0006162494359247067,0.0003069639205932617,4.5921825977638516e-05,8,1,0.7000000000000001,10,"{'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 0.7000000000000001, 'max_depth': 10}",-0.007757990384431638,-0.002901673419855367,-0.006529694607935352,-0.002893110956697334,-0.004207640031348414,-0.007416907636337437,-0.002075126261000606,-0.0025714810454852484,-0.0035677340165949636,-0.0033226586790422352,-0.00432440170387286,0.0020002707104999616,271
0.011430072784423827,0.0008257947613075876,0.0003479957580566406,0.0002511151921217797,10,1,0.30000000000000004,30,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.30000000000000004, 'max_depth': 30}",-0.0038861271225360777,-0.0061780640452801724,-0.004471096687290395,-0.0034313715903263424,-0.0033883859631642244,-0.006988433285123563,-0.003971614768025564,-0.0038429609159004313,-0.003442846963655792,-0.0029320518242491626,-0.0042532953165551725,0.0012426512076103824,267
0.0029109716415405273,0.00030598622700753105,0.0003050565719604492,0.00024347064940293057,12,10,0.1,100,"{'min_samples_split': 12, 'min_samples_leaf': 10, 'max_features': 0.1, 'max_depth': 100}",-0.001743738639215332,-0.0026908641061024734,-0.00485424477743252,-0.003160211594085327,-0.0031231773610363627,-0.007407145952712901,-0.0017388876469881039,-0.003072921605040529,-0.0030470946534950014,-0.002632278907491147,-0.0033470565243599697,0.0015844378653785535,82
0.01350996494293213,0.0009232102235879047,0.00038967132568359377,0.00015298717381978972,6,4,0.4,50,"{'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 0.4, 'max_depth': 50}",-0.00233102022093999,-0.003585725305290857,-0.004744391336274832,-0.002315721260485648,-0.004231947280514319,-0.006634456079115047,-0.002815848042377866,-0.004356526062089749,-0.004664911060827664,-0.0033571899449027134,-0.003903773659281869,0.0012503692184377994,236
0.0059948921203613285,0.0005950828889184837,0.00037689208984375,0.00016907602096173375,6,7,0.2,40,"{'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 0.2, 'max_depth': 40}",-0.0030213117714044885,-0.0034486112835018265,-0.004132832377419638,-0.0026557356607340844,-0.0037726950640506215,-0.006054619919341524,-0.0031672384915293512,-0.003444582301473575,-0.0020537064060578147,-0.0027831622577914783,-0.0034534495533304404,0.0010316608577246253,130
0.0245380163192749,0.0011459956073467423,0.00043818950653076174,0.00028063682592203016,2,7,0.9,50,"{'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 0.9, 'max_depth': 50}",-0.002848252483832441,-0.0027193937491936547,-0.00368399893653868,-0.003160228826877773,-0.004111985447230753,-0.006286787511236128,-0.002432193947224573,-0.003726885359716532,-0.0022626915375392235,-0.0027817450029891818,-0.003401416280237894,0.001116487954684191,111
0.022924089431762697,0.0015589256188596342,0.0006129026412963867,0.000606548383535174,16,6,0.8,100,"{'min_samples_split': 16, 'min_samples_leaf': 6, 'max_features': 0.8, 'max_depth': 100}",-0.0025255172311104378,-0.00284246380915347,-0.004373727452276417,-0.002551634657441082,-0.0029218142380705798,-0.006591999211586083,-0.002236091242138646,-0.0031647945857537028,-0.002795292922303053,-0.0038162823484178773,-0.003381961769825135,0.0012290919112132438,100
0.0034323930740356445,0.0003928189349709826,0.00039103031158447263,0.000237631582503261,13,6,0.1,30,"{'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 0.1, 'max_depth': 30}",-0.002176612423207456,-0.004283217313361844,-0.004291187395542021,-0.0032203701006355986,-0.002853524555221186,-0.0061320312709370745,-0.0022232559172272546,-0.0033728613750581785,-0.003076061868765222,-0.002712276134560429,-0.0034341398354516273,0.0011321470762730484,124
0.010280156135559082,0.0006355405197050885,0.0005042552947998047,0.000299314429293289,13,3,0.30000000000000004,70,"{'min_samples_split': 13, 'min_samples_leaf': 3, 'max_features': 0.30000000000000004, 'max_depth': 70}",-0.0023522816349236557,-0.003095728562724514,-0.004394460018865206,-0.0027443197712999296,-0.003276423872106608,-0.006902771426473101,-0.003504137955509472,-0.00397076505799278,-0.0029068134575407083,-0.003004575258900325,-0.0036152277016336305,0.0012315365369417982,181
0.025693130493164063,0.0016797122574579387,0.000334930419921875,4.13871305220269e-05,4,1,0.6,40,"{'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.6, 'max_depth': 40}",-0.00637297998319984,-0.0069044777433006745,-0.004622896099383879,-0.004450816341105954,-0.00497806363486236,-0.007117767780789334,-0.0037166518406535408,-0.004938102394099107,-0.0035699281037132984,-0.004289671807762407,-0.00509613557288704,0.0012062091952362004,300
0.0028993368148803713,0.00016199875074707684,0.0004199504852294922,0.00029761815581051616,17,7,0.1,10,"{'min_samples_split': 17, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_depth': 10}",-0.0017714791368640865,-0.0026584363080725502,-0.004121969763706788,-0.0032041280511319143,-0.0027525570806943784,-0.006468974964352995,-0.0023651584894638362,-0.0034869346897658353,-0.0037796979722410987,-0.0020953509633403603,-0.0032704687419633843,0.001278919212444929,54
0.008600306510925294,0.0006727497485531013,0.0003139972686767578,7.299791333754869e-05,9,7,0.30000000000000004,20,"{'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 0.30000000000000004, 'max_depth': 20}",-0.00231686195150095,-0.0025894089946385136,-0.003939778946171955,-0.0030659494577601597,-0.002456717984396609,-0.006917121494000745,-0.0025417927001494265,-0.003806723445300443,-0.003755568632438093,-0.002513472552121641,-0.0033903396158478536,0.0013155414063636748,105
