mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.0026619434356689453,0.002192167178546173,0.0008413076400756836,0.0005607046620351898,18,4,0.2,70,"{'min_samples_split': 18, 'min_samples_leaf': 4, 'max_features': 0.2, 'max_depth': 70}",-0.0015632422166048288,-0.0023284148114819546,-0.003934889771277206,-0.0023320416077094825,-0.0029059475236068505,-0.00662098767024083,-0.0017130654074265113,-0.0030809682140470153,-0.002963611311001412,-0.002359699866602704,-0.002980286839999879,0.00137934996560689,100
0.0020739078521728516,0.00038326034203970885,0.0005844354629516602,0.0003311641796438089,8,1,0.7000000000000001,10,"{'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 0.7000000000000001, 'max_depth': 10}",-0.002612658589251096,-0.004757852973329431,-0.0036203045748228113,-0.002670402413335425,-0.0031249726233725413,-0.006911845050247677,-0.0022368527324292654,-0.0036094540828177147,-0.002712348909238028,-0.0030889213502801488,-0.0035345613299124132,0.0013129570695945825,250
0.001295328140258789,9.606600254481925e-05,0.00037846565246582033,9.975475517242176e-05,10,1,0.30000000000000004,30,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.30000000000000004, 'max_depth': 30}",-0.0018264120741943387,-0.004423843329674996,-0.003878837131608238,-0.002635878561965674,-0.0036040703729255143,-0.007194497823760054,-0.002252386120678902,-0.0037923421717975542,-0.0034516971398438276,-0.0024666616766261164,-0.0035526626403075217,0.001445307695431272,252
0.00035881996154785156,6.759576684134496e-05,0.00020024776458740234,2.105290054717377e-05,12,10,0.1,100,"{'min_samples_split': 12, 'min_samples_leaf': 10, 'max_features': 0.1, 'max_depth': 100}",-0.00163822382736298,-0.002465720198240288,-0.003734748743784895,-0.002290851492917819,-0.0020871914103165103,-0.0062916003170185334,-0.002123694439317,-0.0025108836933212353,-0.002447514026674973,-0.0025415630019830888,-0.002813199115093732,0.0012658631230869394,34
0.0011678457260131836,0.00011906520003193321,0.00034210681915283205,0.0001852241840641697,6,4,0.4,50,"{'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 0.4, 'max_depth': 50}",-0.0031067752504809194,-0.002967530403899691,-0.004219942261197209,-0.0023770563615886026,-0.0030370386742117304,-0.006455001510742674,-0.0026064723634293832,-0.0029812852218133144,-0.0026486094395324544,-0.002776572303198618,-0.00331762837900946,0.0011465998457408418,209
0.0006235122680664062,3.721649107040101e-05,0.00023179054260253907,1.4061765291472203e-05,6,7,0.2,40,"{'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 0.2, 'max_depth': 40}",-0.001812291254286696,-0.002497165466264892,-0.003862554316486721,-0.0019895290443472957,-0.0022827229589031444,-0.006251638438431128,-0.002450581020805436,-0.002673642761235001,-0.002511621719489883,-0.002798488556307129,-0.002913023553655732,0.0012299604249184388,71
0.0028893470764160155,0.0011601008392387957,0.0006131172180175781,0.00038097415264497106,2,7,0.9,50,"{'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 0.9, 'max_depth': 50}",-0.0019001650952069982,-0.0025783296130993233,-0.003452461068332981,-0.002278906976777472,-0.003147949951467314,-0.006060844813115916,-0.0025167958740120117,-0.0028705828821622677,-0.0023399970568557123,-0.0022833624712934714,-0.0029429395802323464,0.0011255953266087848,87
0.0025168895721435548,0.0005446358082208001,0.0004674196243286133,0.000209182902930303,16,6,0.8,100,"{'min_samples_split': 16, 'min_samples_leaf': 6, 'max_features': 0.8, 'max_depth': 100}",-0.0024602409840316355,-0.0029280965058483474,-0.003918360544899798,-0.002738393632670834,-0.0025977235087433588,-0.005971828335013582,-0.002170950780062256,-0.00243743575265948,-0.002797131215348428,-0.0025711535062764236,-0.003059131476555414,0.0010675122857882007,135
0.00038008689880371095,5.1069215120924805e-05,0.00024523735046386717,9.535516421573072e-05,13,6,0.1,30,"{'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 0.1, 'max_depth': 30}",-0.002770635516798373,-0.002679821593281559,-0.0032329953566786734,-0.0023220435989356244,-0.003520856542403016,-0.006163589883661778,-0.0021771054380082967,-0.00238411738877466,-0.002614698456749623,-0.002101181671309089,-0.002996704544660069,0.0011384777733430016,106
0.0010378122329711913,0.0001834458131686217,0.00028030872344970704,6.355651293839579e-05,13,3,0.30000000000000004,70,"{'min_samples_split': 13, 'min_samples_leaf': 3, 'max_features': 0.30000000000000004, 'max_depth': 70}",-0.0021320218987918777,-0.0035965768543068685,-0.0035982468519806282,-0.002816116273188991,-0.00302546150594191,-0.007322772883314208,-0.0022316879021327188,-0.002236673718101544,-0.003270849027274152,-0.0031650056776581655,-0.0033395412592691063,0.0014250856125617177,216
0.002428579330444336,0.00026284512021681496,0.00041942596435546876,0.00019940722783284699,4,1,0.6,40,"{'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.6, 'max_depth': 40}",-0.006874567965655491,-0.005110891649299961,-0.004187970702662087,-0.003909188881149596,-0.003942300412618324,-0.007832876799041478,-0.0038293392723446557,-0.003536356041567155,-0.003481945349099356,-0.0034006370703648196,-0.004610607414380292,0.0014621343266256921,299
