mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.02464292049407959,0.041549262838527765,0.0006171464920043945,0.00022453342945703418,0.7,60,1,4,0.020833333333333336,0.25,0.5,"{'subsample': 0.7, 'n_estimators': 60, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.020833333333333336, 'gamma': 0.25, 'colsample_bytree': 0.5}",-0.0015138915701375282,-0.002175619518267971,-0.0034657705476747874,-0.0021962949397145597,-0.002219051954834279,-0.005989826411721286,-0.0018806986699784899,-0.0021673201726737402,-0.0019632328997625237,-0.00195998471379233,-0.0025531691398557495,0.0012412122338498368,251
0.01747710704803467,0.0038218964876840906,0.0005589008331298828,3.0587310396523666e-05,0.6,90,5,4,0.09604166666666668,0.125,0.75,"{'subsample': 0.6, 'n_estimators': 90, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.09604166666666668, 'gamma': 0.125, 'colsample_bytree': 0.75}",-0.0015224201936646794,-0.0021694948229591888,-0.003478313024507058,-0.0021926571948855515,-0.002212166664593463,-0.005976395999774819,-0.0018805545355132986,-0.002170776426181928,-0.0019627816265230455,-0.001960466900233105,-0.0025526027388836138,0.0012380936559888422,130
0.021311855316162108,0.00496222603570719,0.0004378318786621094,8.40336172619694e-05,0.9,180,1,8,0.03666666666666667,0.25,0.5,"{'subsample': 0.9, 'n_estimators': 180, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03666666666666667, 'gamma': 0.25, 'colsample_bytree': 0.5}",-0.0015136096140957863,-0.0021762408900950258,-0.003463809402994584,-0.0021965166296255465,-0.0022188984987882797,-0.0059902069553332705,-0.0018810790430841213,-0.0021654299886197962,-0.0019621341338303643,-0.0019586046616929826,-0.002552652981815976,0.0012413325421457388,135
0.014145755767822265,0.001754661598721906,0.0003449678421020508,8.970021792798786e-06,0.7,160,9,2,0.064375,0.5,0.5,"{'subsample': 0.7, 'n_estimators': 160, 'min_child_weight': 9, 'max_depth': 2, 'learning_rate': 0.064375, 'gamma': 0.5, 'colsample_bytree': 0.5}",-0.0015123192588987217,-0.0021772310847233654,-0.0034592892688375546,-0.002199122969565607,-0.0022210125874800547,-0.005995336291391109,-0.0018811189610282138,-0.0021649393291378995,-0.001962188743235579,-0.0019579174086237477,-0.002553047590292185,0.0012424129379154283,230
0.008262896537780761,0.0016706977251658816,0.00039975643157958985,0.00020195393619195235,0.5,80,1,2,0.1,0.125,0.5,"{'subsample': 0.5, 'n_estimators': 80, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.1, 'gamma': 0.125, 'colsample_bytree': 0.5}",-0.0015154467692681632,-0.002174888035693071,-0.0034630589018280443,-0.0021962505420995053,-0.0022189448798682647,-0.006002931948532435,-0.0018836841994632936,-0.0021596317174053135,-0.0019597853026256987,-0.00195720730517702,-0.002553182960196081,0.001244916886450436,253
0.01033334732055664,0.0023342032528971633,0.00046710968017578126,0.00022584680607256458,0.5,100,1,6,0.005,0.375,0.75,"{'subsample': 0.5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.005, 'gamma': 0.375, 'colsample_bytree': 0.75}",-0.0015145337333770255,-0.0021750748593538944,-0.0034678293205829265,-0.0021954933603731954,-0.002217713471877707,-0.005986164276333581,-0.0018803245636352423,-0.002168564355125863,-0.001963499248810446,-0.0019603793471673014,-0.002552957653663718,0.001240322161774036,217
0.014553570747375488,0.003148191844662789,0.0004491329193115234,0.00019328004107625974,0.7,150,1,6,0.064375,0.5,0.875,"{'subsample': 0.7, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.064375, 'gamma': 0.5, 'colsample_bytree': 0.875}",-0.0015132176165058144,-0.002176520311807543,-0.0034630293036430563,-0.002198955773068673,-0.0022225176421795667,-0.005998221926471664,-0.0018816514607148185,-0.0021631215711348187,-0.0019616408527734284,-0.00195909266222402,-0.0025537969120523404,0.0012433944260334172,278
0.01866183280944824,0.0037554583283620118,0.00039091110229492185,0.00011894670175968772,0.8,190,1,2,0.04854166666666667,0.25,0.5,"{'subsample': 0.8, 'n_estimators': 190, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.04854166666666667, 'gamma': 0.25, 'colsample_bytree': 0.5}",-0.0015118983055132308,-0.0021779395019178695,-0.0034612192606068887,-0.0021974364798818024,-0.0022201158297533085,-0.0059872102389780715,-0.0018806817054471529,-0.0021667791756957524,-0.0019629005976032872,-0.001959392111305043,-0.0025525573206702404,0.0012402510503466751,126
0.018416118621826173,0.008145546667330519,0.0003590106964111328,4.304466366557648e-05,0.7,180,9,4,0.08020833333333334,0.25,0.875,"{'subsample': 0.7, 'n_estimators': 180, 'min_child_weight': 9, 'max_depth': 4, 'learning_rate': 0.08020833333333334, 'gamma': 0.25, 'colsample_bytree': 0.875}",-0.0015105443138845784,-0.0021797897375786532,-0.003454198142137394,-0.0021990115345431787,-0.00222254969116459,-0.005995096623797894,-0.0018823535417592115,-0.0021596260875917646,-0.00196086293384043,-0.0019592675329652815,-0.0025523300139262974,0.0012421087723046523,108
0.052191734313964844,0.01009962384886251,0.0006143569946289063,1.6441826470361387e-05,0.9,50,7,10,0.020833333333333336,0.0,1.0,"{'subsample': 0.9, 'n_estimators': 50, 'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.020833333333333336, 'gamma': 0.0, 'colsample_bytree': 1.0}",-0.0014456009389397333,-0.0020081514326583186,-0.0032033376903172353,-0.0017998855147372014,-0.002108807177625923,-0.005612433056584755,-0.001396515732142133,-0.0021082070019254515,-0.0020389394099073416,-0.0016729969875753509,-0.0023394874942413444,0.0011911689819774436,9
