mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.21059670448303222,0.002862567624098894,0.0006222248077392579,0.0002135484961295112,130,14,15,8,0.020833333333333336,"{'n_estimators': 130, 'min_samples_split': 14, 'min_samples_leaf': 15, 'max_depth': 8, 'learning_rate': 0.020833333333333336}",-0.001465010168875393,-0.0021168477036730598,-0.0031418687590172105,-0.001828826559838151,-0.0022238829541277303,-0.005523651096324515,-0.00134089492687533,-0.0021196666687234673,-0.002093889271965984,-0.0017215329070275364,-0.0023576071016448374,0.0011556618482621696,74
0.07034902572631836,0.0005620770545179908,0.00028719902038574217,3.4139376044257426e-05,120,13,14,2,0.02479166666666667,"{'n_estimators': 120, 'min_samples_split': 13, 'min_samples_leaf': 14, 'max_depth': 2, 'learning_rate': 0.02479166666666667}",-0.001319855698160238,-0.0019905721888321803,-0.0030847309979741802,-0.001772869362197583,-0.002153394786315671,-0.005579491865593835,-0.0013811548463836614,-0.0020748334315677094,-0.0020493752558063605,-0.0016282590681445618,-0.002303453750097598,0.0011889307639353411,27
0.08282546997070313,0.000794204057363203,0.0003242015838623047,3.818715482617701e-05,80,19,6,4,0.06041666666666667,"{'n_estimators': 80, 'min_samples_split': 19, 'min_samples_leaf': 6, 'max_depth': 4, 'learning_rate': 0.06041666666666667}",-0.0014529737734861655,-0.0021597000987960135,-0.003201109524349049,-0.0018376597539169954,-0.0021975896601659243,-0.0055494421961423445,-0.0015738131486621792,-0.0022063446847476733,-0.002572900592558744,-0.0017812644204028016,-0.002453279785322789,0.0011391659186738335,174
0.07604327201843261,0.00023318146865137078,0.00029277801513671875,2.2939534994459763e-05,130,18,10,2,0.044583333333333336,"{'n_estimators': 130, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_depth': 2, 'learning_rate': 0.044583333333333336}",-0.0012948332523374758,-0.0020399963224548272,-0.0029436197173717186,-0.0017063381512854086,-0.002079707584177323,-0.005564309262986218,-0.001316884532608603,-0.0021025641330746844,-0.0020380785392989376,-0.001586276610100439,-0.002267260810569564,0.0011883462826311024,7
0.08319258689880371,0.001144506251668666,0.00031731128692626955,2.6992194874267746e-05,80,9,10,4,0.020833333333333336,"{'n_estimators': 80, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_depth': 4, 'learning_rate': 0.020833333333333336}",-0.0014154652489714737,-0.002065430406716569,-0.003230905112838321,-0.0018308488417654854,-0.002087921341909214,-0.005625413668010437,-0.001363244795168258,-0.002155490355032123,-0.0020100559531776594,-0.0015908232098034306,-0.002337559893339297,0.0012041075676322492,50
0.035517120361328126,5.584567294699322e-05,0.00023448467254638672,1.1885112362494008e-06,60,7,14,2,0.012916666666666667,"{'n_estimators': 60, 'min_samples_split': 7, 'min_samples_leaf': 14, 'max_depth': 2, 'learning_rate': 0.012916666666666667}",-0.001366543140410341,-0.00201502221599138,-0.0032111188212236817,-0.0019206209988178078,-0.002122920469318256,-0.005748116538148949,-0.001584258078677377,-0.002058358626326069,-0.0019509165124934964,-0.001660977591865562,-0.0023638852993272917,0.001220965087785811,83
0.17134559154510498,0.0009868356115940245,0.0004177570343017578,3.95062966870403e-05,170,13,15,4,0.02479166666666667,"{'n_estimators': 170, 'min_samples_split': 13, 'min_samples_leaf': 15, 'max_depth': 4, 'learning_rate': 0.02479166666666667}",-0.001379015266673194,-0.0020142181752066924,-0.003058693934583209,-0.001858622657320667,-0.0022852540683851084,-0.005554227309918204,-0.0013315656453767775,-0.002179239365733716,-0.002100547820857209,-0.0016447939426014484,-0.0023406178186656224,0.0011702800395636869,54
0.050801753997802734,0.00013118941964742126,0.0002717018127441406,2.7623650279922943e-06,50,6,13,4,0.08416666666666668,"{'n_estimators': 50, 'min_samples_split': 6, 'min_samples_leaf': 13, 'max_depth': 4, 'learning_rate': 0.08416666666666668}",-0.0014843607497736161,-0.0020221888763074713,-0.0032524619497870163,-0.0018677738813672057,-0.0022871721018939365,-0.005610863989609363,-0.0013535467489784816,-0.0021929736499267513,-0.0020931405034627874,-0.0017533429297368552,-0.0023917825380843486,0.0011816533907971038,122
0.12418828010559083,0.001265169330987476,0.00039091110229492185,4.3916572835692154e-05,80,3,2,6,0.016875,"{'n_estimators': 80, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 6, 'learning_rate': 0.016875}",-0.0015044829317255432,-0.0022181015877327983,-0.003310456461516563,-0.0019340133870966842,-0.0022206468345114475,-0.005504049245942003,-0.0015723554988902946,-0.002031128726132713,-0.0022380336895574957,-0.0016482728003824293,-0.002418154116348797,0.0011383098966776684,144
0.1700078010559082,0.0010562851976504432,0.00046405792236328127,2.94251802003757e-05,80,18,3,10,0.02875,"{'n_estimators': 80, 'min_samples_split': 18, 'min_samples_leaf': 3, 'max_depth': 10, 'learning_rate': 0.02875}",-0.0015270187569356372,-0.0024464841620114343,-0.0032660986073792414,-0.0018130322208346605,-0.0020362779003211184,-0.005519864649828049,-0.0015587405680658915,-0.0020330789812892753,-0.0025811398382988137,-0.0017732034301456423,-0.0024554939115109765,0.0011385079052525814,177
