mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_iter,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.012882161140441894,0.016815395268948367,0.00021772384643554689,0.00014479310865481588,10000,0.631578947368421,10000.0,"{'max_iter': 10000, 'l1_ratio': 0.631578947368421, 'alpha': 10000.0}",-0.0015135399967045732,-0.002176025041081252,-0.0034654868081424074,-0.0021960506393019384,-0.002218367615284105,-0.005985785056337706,-0.0018801825252170988,-0.002168248570240162,-0.001963536806251333,-0.0019602994820837024,-0.002552752254064428,0.00124008473416832,115
0.00046961307525634767,0.0002896956656558673,0.0001476287841796875,1.5735626220703126e-06,5000,0.42105263157894735,78.47599703514607,"{'max_iter': 5000, 'l1_ratio': 0.42105263157894735, 'alpha': 78.47599703514607}",-0.0015135399967045732,-0.002176025041081252,-0.0034654868081424074,-0.0021960506393019384,-0.002218367615284105,-0.005985785056337706,-0.0018801825252170988,-0.002168248570240162,-0.001963536806251333,-0.0019602994820837024,-0.002552752254064428,0.00124008473416832,115
0.002165555953979492,0.0022641813438426723,0.0002907752990722656,0.00019341114700775194,10000,0.6842105263157894,0.00026366508987303583,"{'max_iter': 10000, 'l1_ratio': 0.6842105263157894, 'alpha': 0.00026366508987303583}",-0.0013538882445344414,-0.0019837079373491223,-0.003099524651919509,-0.0016358755353806315,-0.0021249520864572956,-0.005359662019627224,-0.0013123202110732412,-0.0022017220206735455,-0.002289895245831981,-0.0015797798268959902,-0.0022941327779742978,0.0011389155996024778,41
0.0005400657653808593,0.0006857136423147074,0.00014688968658447266,2.5952604302491765e-06,5000,0.3157894736842105,0.08858667904100823,"{'max_iter': 5000, 'l1_ratio': 0.3157894736842105, 'alpha': 0.08858667904100823}",-0.0015135399967045732,-0.002176025041081252,-0.0034654868081424074,-0.0021960506393019384,-0.002218367615284105,-0.005985785056337706,-0.0018801825252170988,-0.002168248570240162,-0.001963536806251333,-0.0019602994820837024,-0.002552752254064428,0.00124008473416832,115
0.003143119812011719,0.0024153280867203223,0.00043227672576904295,0.0003131376665886421,5000,1.0,0.0001,"{'max_iter': 5000, 'l1_ratio': 1.0, 'alpha': 0.0001}",-0.001353898348768038,-0.0019854485064294226,-0.0031018208313161725,-0.001637878283388901,-0.0021264690960280572,-0.005332701457254495,-0.0013044569544998802,-0.002207045163863846,-0.002315315390458932,-0.001604325609423903,-0.002296935964143165,0.0011307791113172607,54
0.0007561683654785156,0.0006850874977313931,0.0001527547836303711,7.970493921522534e-06,5000,0.6842105263157894,3792.690190732246,"{'max_iter': 5000, 'l1_ratio': 0.6842105263157894, 'alpha': 3792.690190732246}",-0.0015135399967045732,-0.002176025041081252,-0.0034654868081424074,-0.0021960506393019384,-0.002218367615284105,-0.005985785056337706,-0.0018801825252170988,-0.002168248570240162,-0.001963536806251333,-0.0019602994820837024,-0.002552752254064428,0.00124008473416832,115
0.003027939796447754,0.0036270499761302385,0.00028750896453857424,0.00027417513487825785,10000,0.3684210526315789,0.012742749857031334,"{'max_iter': 10000, 'l1_ratio': 0.3684210526315789, 'alpha': 0.012742749857031334}",-0.0013576693979483164,-0.0020433286514083666,-0.0032049222102119024,-0.00180359504183822,-0.002109151471289046,-0.005562149708409774,-0.0015858790433560708,-0.0021575207723644775,-0.001928728656306913,-0.001523820758606727,-0.0023276765711739813,0.0011815294700212144,86
0.0019561290740966798,0.001830336562787106,0.00031390190124511717,0.00024406560009557568,10000,0.21052631578947367,545.5594781168514,"{'max_iter': 10000, 'l1_ratio': 0.21052631578947367, 'alpha': 545.5594781168514}",-0.0015135399967045732,-0.002176025041081252,-0.0034654868081424074,-0.0021960506393019384,-0.002218367615284105,-0.005985785056337706,-0.0018801825252170988,-0.002168248570240162,-0.001963536806251333,-0.0019602994820837024,-0.002552752254064428,0.00124008473416832,115
0.0018382310867309571,0.002797361462759744,0.0002852201461791992,0.00039974159466410226,1000,0.894736842105263,0.03359818286283781,"{'max_iter': 1000, 'l1_ratio': 0.894736842105263, 'alpha': 0.03359818286283781}",-0.0015135399967045732,-0.002176025041081252,-0.0034654868081424074,-0.0021960506393019384,-0.002218367615284105,-0.005985785056337706,-0.0018801825252170988,-0.002168248570240162,-0.001963536806251333,-0.0019602994820837024,-0.002552752254064428,0.00124008473416832,115
0.0009715557098388672,0.000672308975189081,0.0002642631530761719,0.00016523643271293154,1000,0.2631578947368421,78.47599703514607,"{'max_iter': 1000, 'l1_ratio': 0.2631578947368421, 'alpha': 78.47599703514607}",-0.0015135399967045732,-0.002176025041081252,-0.0034654868081424074,-0.0021960506393019384,-0.002218367615284105,-0.005985785056337706,-0.0018801825252170988,-0.002168248570240162,-0.001963536806251333,-0.0019602994820837024,-0.002552752254064428,0.00124008473416832,115
0.001044487953186035,0.001246094485623822,0.00015082359313964844,5.464104439196858e-06,5000,0.6842105263157894,29.763514416313132,"{'max_iter': 5000, 'l1_ratio': 0.6842105263157894, 'alpha': 29.763514416313132}",-0.0015135399967045732,-0.002176025041081252,-0.0034654868081424074,-0.0021960506393019384,-0.002218367615284105,-0.005985785056337706,-0.0018801825252170988,-0.002168248570240162,-0.001963536806251333,-0.0019602994820837024,-0.002552752254064428,0.00124008473416832,115
