mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.3482105255126953,0.005730584568447477,0.016932010650634766,0.0018044317072291212,900,2,6,0.1,60,False,"{'n_estimators': 900, 'min_samples_split': 2, 'min_samples_leaf': 6, 'max_features': 0.1, 'max_depth': 60, 'bootstrap': False}",-0.0013366533766741829,-0.001989167541049978,-0.0032689400405603204,-0.0018764704421581494,-0.0021024245419458496,-0.005616930773664704,-0.0014390743057827822,-0.0020354272606296787,-0.0020350316595943853,-0.0016794634734477155,-0.0023379583415507744,0.0012014990084197948,141
0.5667446613311767,0.009085487810586547,0.015617132186889648,0.00032945807320742745,800,9,2,0.2,90,False,"{'n_estimators': 800, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 0.2, 'max_depth': 90, 'bootstrap': False}",-0.0013270009287060622,-0.0020558710080944113,-0.003197600499049327,-0.0017738722893098427,-0.0021000975828417328,-0.005528840370748545,-0.0014022833602361745,-0.0020938548063992378,-0.0020807413500577247,-0.001656203182074263,-0.0023216365377517322,0.0011773042344389673,107
0.2711519956588745,0.01883771959373742,0.006272172927856446,0.0005584777296890286,300,10,6,0.30000000000000004,70,False,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 0.30000000000000004, 'max_depth': 70, 'bootstrap': False}",-0.0013892406891598543,-0.0020099358168263635,-0.0032069907493609572,-0.0017219004595751223,-0.0021618943489633384,-0.005449351043039671,-0.0014269128343407074,-0.0021252603312318526,-0.00218850453670059,-0.0016555847604052929,-0.002333557556960375,0.0011496604936936069,136
1.0746976852416992,0.03329154136049319,0.009952116012573241,0.0001836254267396837,500,3,3,0.8,30,False,"{'n_estimators': 500, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 0.8, 'max_depth': 30, 'bootstrap': False}",-0.0018089785123636402,-0.002620689192614221,-0.0035805383894763607,-0.002187183272685617,-0.002510127213206844,-0.00585880556716574,-0.001503826330411125,-0.002488114105883557,-0.0030752333757916262,-0.002238424498939571,-0.00278719204585383,0.0011664560520612624,290
2.0915234327316283,0.05194099557691296,0.01864914894104004,0.0002196403206268234,1000,10,2,0.8,50,False,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 50, 'bootstrap': False}",-0.0016988273565224864,-0.0026985613707849717,-0.0034178303000411093,-0.0021074737109479376,-0.0025158962302906864,-0.005895670711323624,-0.001461901128903356,-0.002295109717236997,-0.0023520352210674865,-0.001989713058112839,-0.002643301880523149,0.0012002161131715841,277
1.2502350330352783,0.03138761741539552,0.01632511615753174,0.00018297917666069762,900,3,6,0.6,40,False,"{'n_estimators': 900, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 0.6, 'max_depth': 40, 'bootstrap': False}",-0.0014781753827512532,-0.0021689420819151276,-0.0032368243296219826,-0.001854404469100074,-0.0022225614846579965,-0.005621553076258529,-0.0014509627012114033,-0.002279961909718079,-0.002187409827813139,-0.001820099503989078,-0.002432089476703666,0.0011660724350305953,234
0.663488221168518,0.012161036116116753,0.011817669868469239,0.0002975240809458047,700,9,10,0.7000000000000001,70,True,"{'n_estimators': 700, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_features': 0.7000000000000001, 'max_depth': 70, 'bootstrap': True}",-0.0014021327071866325,-0.0020053363110753464,-0.0031062101892040546,-0.0016746567550114397,-0.00217198093428905,-0.005446213516690461,-0.001343578891398631,-0.0021773276604248326,-0.0021115899920225584,-0.0015307686906439264,-0.0022969795647946934,0.0011578421105695612,56
1.5858993768692016,0.08574998973340556,0.01399526596069336,0.0010748054309638413,800,10,6,0.9,70,False,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 0.9, 'max_depth': 70, 'bootstrap': False}",-0.001696355002176084,-0.0025788497030457417,-0.003293774598559421,-0.0022729273718449967,-0.002534169553129814,-0.0055621503719472925,-0.0017679353066352781,-0.002435670158550671,-0.002415292569302712,-0.0023207064622226678,-0.0026877831097414677,0.00104586752081636,283
1.6882096529006958,0.03948701045286959,0.016449642181396485,0.0007601817837354157,900,3,3,0.8,10,False,"{'n_estimators': 900, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 0.8, 'max_depth': 10, 'bootstrap': False}",-0.001705030181598479,-0.0025258588195721738,-0.003596882222245584,-0.002158891992792485,-0.002559643204206815,-0.005842547703428371,-0.0014858063997987715,-0.0024097469507212738,-0.0031161404313449744,-0.0022291214677176104,-0.0027629669373426535,0.0011801082922727794,284
2.01711368560791,0.06302730790515232,0.015502500534057616,0.0015857459396135933,800,6,3,0.9,40,False,"{'n_estimators': 800, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 0.9, 'max_depth': 40, 'bootstrap': False}",-0.002143327405477638,-0.0030911640419450733,-0.0039025626696070374,-0.0025476608836146127,-0.0027342794645513245,-0.006065737218384441,-0.0016665222170904582,-0.0028513735164330646,-0.004130644941600281,-0.0025659244935504247,-0.0031699196852254356,0.0011920187215309203,295
