mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.003902125358581543,0.0011643309268698466,0.0005382299423217773,0.00032392177188902824,auto,0.0001,"{'solver': 'auto', 'alpha': 0.0001}",-1.4891916448792681,-1.6364309465140692,-1.659386689698322,-1.6674409394417486,-1.6266881141284255,-1.5473479026212051,-1.5822197156921616,-1.6078437605074762,-1.5442128780455397,-1.645395223635991,-1.6006157815164208,0.055418466212835193,130
0.059772372245788574,0.0033995508670054443,0.0006145715713500976,0.00014244164519026158,svd,0.0001,"{'solver': 'svd', 'alpha': 0.0001}",-1.489191644879268,-1.6364309465140694,-1.6593866896983227,-1.6674409394417478,-1.6266881141284253,-1.547347902621205,-1.582219715692162,-1.6078437605074756,-1.5442128780455397,-1.6453952236359917,-1.6006157815164208,0.055418466212835256,130
0.0034800291061401365,0.00014023577545324464,0.00052490234375,0.00028473951102742806,cholesky,0.0001,"{'solver': 'cholesky', 'alpha': 0.0001}",-1.4891916448792681,-1.6364309465140692,-1.659386689698322,-1.6674409394417486,-1.6266881141284255,-1.5473479026212051,-1.5822197156921616,-1.6078437605074762,-1.5442128780455397,-1.645395223635991,-1.6006157815164208,0.055418466212835193,130
0.012881183624267578,0.0019160133787540124,0.0005283594131469726,0.0003224086665915352,lsqr,0.0001,"{'solver': 'lsqr', 'alpha': 0.0001}",-1.4893578607577334,-1.6364163818165627,-1.6593523249148197,-1.6675279781292536,-1.6266768507739473,-1.5473601106535066,-1.5822136859424247,-1.60781271188752,-1.544207734148958,-1.6454808590376313,-1.6006406498062358,0.055396522491944045,203
0.01301586627960205,0.003968134500654018,0.0005414247512817383,0.00021570682820779013,sparse_cg,0.0001,"{'solver': 'sparse_cg', 'alpha': 0.0001}",-1.4891900483966174,-1.6364336629768894,-1.6593891265866034,-1.6674957106229198,-1.6266923060293976,-1.5473488825722024,-1.5822284324859959,-1.6078419383407692,-1.5442122573554988,-1.6453965249047537,-1.6006228890271648,0.05542578574388772,174
0.09154036045074462,0.004920791311276304,0.00039985179901123045,4.7312657735140445e-05,sag,0.0001,"{'solver': 'sag', 'alpha': 0.0001}",-1.489190411974651,-1.6364285374891054,-1.6593836986092936,-1.6674414277104972,-1.6266848644230674,-1.5473585041188873,-1.5822116658840106,-1.607835843037685,-1.5442205134612943,-1.6453997668646523,-1.6006155233573143,0.055416882426348,79
0.053325963020324704,0.00262542211503938,0.000464940071105957,0.00028649711089691755,saga,0.0001,"{'solver': 'saga', 'alpha': 0.0001}",-1.489196938439389,-1.6364410854020481,-1.6593875274548395,-1.6674380700347784,-1.6266874639589706,-1.5473493290454634,-1.5822111264953054,-1.6078522422076857,-1.5442147403215778,-1.645394709235274,-1.6006173232595333,0.05541779715971557,140
0.0034600257873535155,0.00015321269117993675,0.0004426479339599609,0.0002742912694172298,auto,0.0001603718743751331,"{'solver': 'auto', 'alpha': 0.0001603718743751331}",-1.4891916448469864,-1.6364309461949569,-1.6593866892891969,-1.667440940285954,-1.626688113806561,-1.5473479019653915,-1.5822197156989732,-1.6078437603255864,-1.5442128784895444,-1.6453952232329556,-1.6006157814136106,0.055418466224651824,127
0.05754690170288086,0.0011526971347441128,0.0009016752243041992,0.0007092237151939049,svd,0.0001603718743751331,"{'solver': 'svd', 'alpha': 0.0001603718743751331}",-1.489191644846986,-1.6364309461949567,-1.6593866892891975,-1.667440940285953,-1.626688113806561,-1.5473479019653913,-1.5822197156989735,-1.607843760325586,-1.5442128784895444,-1.6453952232329563,-1.6006157814136106,0.0554184662246519,127
0.0034397363662719725,0.0001272391083714932,0.00035729408264160154,9.586533272282472e-05,cholesky,0.0001603718743751331,"{'solver': 'cholesky', 'alpha': 0.0001603718743751331}",-1.4891916448469864,-1.6364309461949569,-1.6593866892891969,-1.667440940285954,-1.626688113806561,-1.5473479019653915,-1.5822197156989732,-1.6078437603255864,-1.5442128784895444,-1.6453952232329556,-1.6006157814136106,0.055418466224651824,127
0.01795628070831299,0.004506398401805049,0.000670313835144043,0.00039322007338913657,lsqr,0.0001603718743751331,"{'solver': 'lsqr', 'alpha': 0.0001603718743751331}",-1.4893578606483564,-1.6364163815229824,-1.659352324511766,-1.6675279789300417,-1.6266768504355344,-1.547360109990339,-1.5822136859868547,-1.607812711732424,-1.54420773459875,-1.6454808585769831,-1.6006406496934034,0.05539652251021341,202
0.011840224266052246,0.003543124227521994,0.0004888534545898438,0.0003151651797345809,sparse_cg,0.0001603718743751331,"{'solver': 'sparse_cg', 'alpha': 0.0001603718743751331}",-1.4891900361718091,-1.6364337156182815,-1.6593890724630143,-1.6674956007207866,-1.6266925144263547,-1.5473489123958526,-1.5822284312136634,-1.6078419382474476,-1.5442122561549863,-1.6453964721586614,-1.6006228949570858,0.0554257754419676,175
0.08843686580657958,0.003117757034800292,0.0005750894546508789,0.0005315438618391419,sag,0.0001603718743751331,"{'solver': 'sag', 'alpha': 0.0001603718743751331}",-1.489191865672364,-1.636420487781787,-1.6593927159605737,-1.6674324321003782,-1.6266966939845766,-1.5473493127599642,-1.5822084087136281,-1.6078375348954943,-1.5442110306691172,-1.645395050937631,-1.6006135533475514,0.05541809582925345,51
0.05083310604095459,0.0017857599266317063,0.0003621339797973633,2.8348249782137957e-05,saga,0.0001603718743751331,"{'solver': 'saga', 'alpha': 0.0001603718743751331}",-1.4891811691450798,-1.6364239313862574,-1.659385743474526,-1.6674478089786637,-1.6266911660075634,-1.5473468030506023,-1.582225491641626,-1.6078388620608937,-1.5442163066267178,-1.6453920856256024,-1.6006149367997533,0.05542023847159373,66
0.0032585859298706055,9.671512182379932e-05,0.00028095245361328127,1.1989017585615327e-05,auto,0.00025719138090593444,"{'solver': 'auto', 'alpha': 0.00025719138090593444}",-1.4891916447952156,-1.6364309456831905,-1.6593866886330753,-1.6674409416398217,-1.6266881132903817,-1.5473479009136515,-1.582219715709898,-1.6078437600338873,-1.5442128792016034,-1.6453952225866006,-1.6006157812487327,0.0554184662436023,124
0.05692799091339111,0.0017913971344717076,0.0005831480026245117,0.0001601800438905735,svd,0.00025719138090593444,"{'solver': 'svd', 'alpha': 0.00025719138090593444}",-1.4891916447952154,-1.6364309456831907,-1.659386688633076,-1.6674409416398208,-1.6266881132903817,-1.5473479009136515,-1.5822197157098983,-1.6078437600338866,-1.5442128792016037,-1.6453952225866015,-1.6006157812487327,0.05541846624360235,124
0.0035113096237182617,0.0002729002472168829,0.0005034208297729492,0.00026408319052639,cholesky,0.00025719138090593444,"{'solver': 'cholesky', 'alpha': 0.00025719138090593444}",-1.4891916447952156,-1.6364309456831905,-1.6593866886330753,-1.6674409416398217,-1.6266881132903817,-1.5473479009136515,-1.582219715709898,-1.6078437600338873,-1.5442128792016034,-1.6453952225866006,-1.6006157812487327,0.0554184662436023,124
0.01360151767730713,0.0019418182588238381,0.000536656379699707,0.00021470337547174395,lsqr,0.00025719138090593444,"{'solver': 'lsqr', 'alpha': 0.00025719138090593444}",-1.4893578604729467,-1.6364163810521628,-1.6593523238653813,-1.6675279802142808,-1.626676849892816,-1.547360108926806,-1.5822136860581084,-1.6078127114836944,-1.5442077353200905,-1.6454808578382336,-1.6006406495124523,0.055396522539512216,201
0.013543248176574707,0.0020837585555482127,0.0005680561065673828,0.0003247870375479545,sparse_cg,0.00025719138090593444,"{'solver': 'sparse_cg', 'alpha': 0.00025719138090593444}",-1.4891900206464288,-1.636433831214557,-1.6593890780477487,-1.6674957200946907,-1.6266923126457924,-1.5473489054842604,-1.5822284406002711,-1.607841937982012,-1.5442122550057775,-1.6453964793235627,-1.60062289810451,0.055425792581341615,176
0.08837063312530517,0.004517691697620393,0.0003500699996948242,9.64464302387677e-06,sag,0.00025719138090593444,"{'solver': 'sag', 'alpha': 0.00025719138090593444}",-1.4891931492049952,-1.6364272913231297,-1.659385984118383,-1.6674354231762836,-1.6266836313173216,-1.5473451147862989,-1.5822164015512117,-1.6078583653448586,-1.5442103526175428,-1.6454013026629823,-1.6006157016103006,0.055418293636283186,90
