mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
2.9857024908065797,0.11973180544954871,0.0009878158569335937,0.0005855297589854529,130,14,15,8,0.020833333333333336,"{'n_estimators': 130, 'min_samples_split': 14, 'min_samples_leaf': 15, 'max_depth': 8, 'learning_rate': 0.020833333333333336}",-0.0014286799201241917,-0.0022215185695038456,-0.003201704304836802,-0.0019770065022975064,-0.0021651014566944765,-0.005768491781332167,-0.001606383336239958,-0.0024836812505852394,-0.0020574886071036283,-0.0017529886327128797,-0.0024663044361430695,0.0011969833231286454,107
0.8718455076217652,0.04317007377209413,0.0004530429840087891,8.782259608481038e-05,120,13,14,2,0.02479166666666667,"{'n_estimators': 120, 'min_samples_split': 13, 'min_samples_leaf': 14, 'max_depth': 2, 'learning_rate': 0.02479166666666667}",-0.0013822787446024433,-0.001932664522580025,-0.00327202827768609,-0.001756318738650692,-0.0021996159655607184,-0.005840052556464168,-0.001535090023187173,-0.002188418133637318,-0.0020796887885733487,-0.0017201927166869647,-0.002390634846762894,0.0012513884107565067,17
1.100264596939087,0.005150935851225955,0.00044906139373779297,4.506152142736841e-05,80,19,6,4,0.06041666666666667,"{'n_estimators': 80, 'min_samples_split': 19, 'min_samples_leaf': 6, 'max_depth': 4, 'learning_rate': 0.06041666666666667}",-0.0013385760722537028,-0.002096087504840185,-0.003367242240215098,-0.0018288039124866517,-0.002451474009351746,-0.006167923170580761,-0.0015185579233738802,-0.0022035812854532067,-0.0020626706960953567,-0.001795368936296032,-0.002483028575094662,0.0013381574443730043,117
0.9713632822036743,0.05564058661128533,0.0004792213439941406,6.479688893766146e-05,130,18,10,2,0.044583333333333336,"{'n_estimators': 130, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_depth': 2, 'learning_rate': 0.044583333333333336}",-0.0014243478151181898,-0.001990905037721453,-0.0033643655207121165,-0.0017623606439709735,-0.0023492777588661113,-0.00587003137010718,-0.0014883659254457957,-0.0021819417478924612,-0.002187343176143224,-0.0016975734659046321,-0.0024316512461882134,0.0012612202491665467,52
1.128451371192932,0.02414276773417886,0.0005084753036499023,3.771417946259564e-05,80,9,10,4,0.020833333333333336,"{'n_estimators': 80, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_depth': 4, 'learning_rate': 0.020833333333333336}",-0.0013330557818744338,-0.0020651916206879386,-0.0033377907196436,-0.0018022563772221686,-0.002341740439485803,-0.005952640811282317,-0.001500663134904068,-0.002204217754873649,-0.0020598866091953915,-0.001780851992241839,-0.0024378295241411206,0.0012823304772103688,66
0.43189396858215334,0.004871456536864009,0.0003709316253662109,2.376587203179758e-05,60,7,14,2,0.012916666666666667,"{'n_estimators': 60, 'min_samples_split': 7, 'min_samples_leaf': 14, 'max_depth': 2, 'learning_rate': 0.012916666666666667}",-0.0013679283488463017,-0.0020427350515674386,-0.003247552348425167,-0.0019163903944377427,-0.002116739237807424,-0.0058213036846587905,-0.0016589569962520234,-0.002130829301745294,-0.001977532468108526,-0.001716040826706322,-0.0023996008658555027,0.0012328205020935375,26
2.3407352685928347,0.08009418989411168,0.0005988359451293945,8.236718739244288e-05,170,13,15,4,0.02479166666666667,"{'n_estimators': 170, 'min_samples_split': 13, 'min_samples_leaf': 15, 'max_depth': 4, 'learning_rate': 0.02479166666666667}",-0.00141236287042082,-0.0021416485854678733,-0.003358511718038212,-0.0018114055301457588,-0.0024718031891287724,-0.005942037634314083,-0.0014962667343074096,-0.002381653894011535,-0.0021789184050098605,-0.0017515533639910481,-0.002494616192483537,0.0012671012305754544,124
0.6785210132598877,0.0113793768833389,0.00041337013244628905,4.7818565426091834e-05,50,6,13,4,0.08416666666666668,"{'n_estimators': 50, 'min_samples_split': 6, 'min_samples_leaf': 13, 'max_depth': 4, 'learning_rate': 0.08416666666666668}",-0.0014248619327360379,-0.00217652005192306,-0.003284439364570116,-0.001905672859921625,-0.00263959662376027,-0.0059704554590409775,-0.0014800840288412397,-0.002391773328682156,-0.0021685497794239963,-0.0017100155228502332,-0.0025151968951749714,0.0012679213770734597,142
1.6441312551498413,0.006348122119007609,0.00048437118530273435,3.492570971463334e-05,80,3,2,6,0.016875,"{'n_estimators': 80, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 6, 'learning_rate': 0.016875}",-0.0015822458816495753,-0.0020787344052358705,-0.0032001703820292485,-0.00211219853041266,-0.001960726019291933,-0.005800677564956119,-0.0016677604347252566,-0.0021394593984587623,-0.002061942559275641,-0.001692018555496796,-0.002429593373153186,0.001202639775876551,49
2.5327703952789307,0.07850179724725674,0.0006973028182983398,7.733131881003383e-05,80,18,3,10,0.02875,"{'n_estimators': 80, 'min_samples_split': 18, 'min_samples_leaf': 3, 'max_depth': 10, 'learning_rate': 0.02875}",-0.0017035840111273774,-0.00238898684475735,-0.0031054614375514793,-0.0021996391768356978,-0.001916310094326937,-0.006103911269938145,-0.0015128322097694678,-0.0024682411128326316,-0.002199180994229272,-0.0020080110836442505,-0.0025606158235012607,0.0012531394229071122,181
